Date,User,Tweet
2023-03-02 22:42:46+00:00,JoeToplyn,"Today Egyptian officials revealed the discovery of a 30-foot-long corridor inside one of the Pyramids of Giza. The officials say they also discovered a clue as to what the 30-foot-long corridor was used for: ""King Tut"" embroidered in hieroglyphics on a bowling shirt."
2023-03-01 22:28:12+00:00,JoeToplyn,"Prince Harry and Meghan have been asked to move out of Frogmore Cottage, their official royal residence in the United Kingdom. The good news is, because Prince Harry is fifth in line to the throne, they can always stay at an Heir-bnb."
2023-02-28 20:13:59+00:00,JoeToplyn,Yesterday Russian President Vladimir Putin awarded the Order of Friendship to action-movie actor Steven Seagal. Observers say that the award was made to express how grateful movie-lovers are to Steven Seagal for not making any more movies.
2023-02-27 22:53:30+00:00,JoeToplyn,"A new study says that the artificial sweetener erythritol may raise the risk of a heart attack. When asked for comment, Starbucks officials said that their coffees have no erythritol, so the only thing that might cause a heart attack is their price."
2023-02-25 22:56:33+00:00,JoeToplyn,"The Dr. Seuss book 'How the Grinch stole Christmas!' is getting a sequel. It takes place a few Christmases after the first book. In the sequel, because his heart grew three sizes, the Grinch burglarizes Whoville Hospital and steals all their pacemakers."
2023-02-24 22:54:19+00:00,JoeToplyn,"In a clinical trial, an experimental nasal vaccine gave strong protection against Covid infection. And here's more good news: the vaccine gives even stronger protection when you also take two N95 masks and stuff them up inside your nostrils."
2023-02-23 23:11:03+00:00,JoeToplyn,"Yesterday the FDA ruled that soy, oat, and almond drinks can keep calling themselves milk. The dairy industry was pretty angry. In fact, some cows gave the FDA their middle teat."
2023-02-22 22:05:29+00:00,JoeToplyn,"In Texas over the weekend, at a stock show and rodeo, a team of Budweiser Clydesdales got tangled up and collapsed to the ground. Which answers the question, ""Did the Clydesdales enjoy Budweiser's Pre-Rodeo Happy Hour?"""
2023-02-21 22:16:26+00:00,JoeToplyn,Today Home Depot announced that it'll raise the pay of its store workers to a minimum of $15 an hour. Company officials say they'll ask Accounting to issue the new paychecks as soon as they can track down somebody who works in that department.
2023-02-21 01:16:01+00:00,JoeToplyn,"It's Presidents Day 2023. As his tribute to George Washington, President Biden ordered the Air Force to chop down a Chinese cherry tree with a Sidewinder missile."
2023-02-19 22:20:03+00:00,JoeToplyn,"Now in theaters is a new R-rated slasher movie starring Winnie the Pooh. It's so disturbing, it starts with a Tigger warning."
2023-02-17 19:42:56+00:00,JoeToplyn,A judge suggested that jail might be the best way to stop FTX founder Sam Bankman-Fried from communicating on electronic devices. Which is surprising because there is an electronic device that the judge actually ordered Bankman-Fried to use: a Flowbee hair clipper.
2023-02-16 15:52:32+00:00,JoeToplyn,Next week McDonald's in Germany is introducing plant-based McNuggets. McDonald's officials guarantee that if you love Chicken McNuggets you'll also love plant-based McNuggets because neither one contains any chicken.
2023-02-15 23:09:40+00:00,JoeToplyn,Yesterday North Korea unveiled a series of postage stamps featuring Kim Jong Un's ten-year-old daughter. Kim Jong Un said he got the idea when his daughter mentioned she was collecting stamps to mail herself out of North Korea.
2023-02-14 22:19:20+00:00,JoeToplyn,It's Valentine's Day 2023 and Cupid has been really busy this year. That's because he's been shooting most of his arrows to deflate Chinese spy balloons.
